featureid	CR0118-D02	CR0119-D03	CR097-A1	CR098-A2	CR099-A3	CR1-A1	CR10-A10	CR100-A4	CR101-A5	CR102-A6	CR103-A7	CR104-A8	CR105-A9	CR106-A10	CR107-A11	CR108-A12	CR109-B1	CR11-A11	CR110-B2	CR111-B3	CR112-B4	CR113-B5	CR115-B7	CR116-B8	CR12-A12	CR120-D04	CR121-D05	CR122-D06	CR123-D07	CR124-D08	CR126-D10	CR127-D11	CR134-E06	CR136-E08	CR14-B2	CR140-E12	CR142-F02	CR15-B3	CR16-B4	CR17-B5	CR18-B6	CR19-B7	CR2-A2	CR20-B8	CR21-B9	CR22-B10	CR23-B11	CR24-B12	CR25-C1	CR26-C2	CR27-C3	CR28-C4	CR3-A3	CR30-C6	CR31-C7	CR32-C8	CR33-C9	CR34-C10	CR35-C11	CR36-C12	CR37-D1	CR38-D2	CR39-D3	CR4-A4	CR40-D4	CR41-D5	CR42-D6	CR43-D7	CR44-D8	CR45-D9	CR46-D10	CR47-D11	CR48-D12	CR49-E1	CR5-A5	CR50-E2	CR51-E3	CR52-E4	CR53-E5	CR54-E6	CR55-E7	CR56-E8	CR57-E9	CR58-E10	CR59-E11	CR6-A6	CR60-E12	CR61-F1	CR62-F2	CR63-F3	CR65-F5	CR66-F6	CR67-F7	CR68-F8	CR69-F9	CR7-A7	CR70-F10	CR71-F11	CR72-F12	CR73-G1	CR74-G2	CR75-G3	CR76-G4	CR78-G6	CR8-A8	CR80-G8	CR81-G9	CR82-G10	CR83-G11	CR84-G12	CR85-H1	CR86-H2	CR87-H3	CR88-H4	CR89-H5	CR9-A9	CR90-H6	CR91-H7	CR92-H8	CR93-H9	CR94-H10	CR95-H11	CR96-H12	FeBAL1	FeBAL10	FeBAL11	FeBAL2	FeBAL3	FeBAL4	FeBAL5	FeBAL6	FeBAL7	FeBAL8	FeBAL9
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotella 9	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	5	27	2	24	128	30	39	40	273	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	49	2	0	160	4	0	0	31	18	0	4	8	0	0	0	0	41	0	0	7	2	0	2	1	0	0	3	0	0	11	0	0	0	0	1	6	1	0	1	5	0	0	15	1	0	1	0	0	0	1	2	2	0	0	0	3	0	0	0	1	0	0	0	0	0	32	9	0	0	19	0	0	1	0	0	2	0	0	0	15	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Acidaminococcaceae;D_5__Acidaminococcus;Ambiguous_taxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	44	2	55	82	64	51	24	23	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	32	0	0	52	18	0	0	8	5	0	1	3	0	0	0	0	40	0	0	5	0	0	1	0	0	0	6	0	0	119	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	48	0	0	0	1	0	0	1	0	0	16	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces;D_6__Actinomyces hyovaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	14	7	12	1	5	14	35	1	0	0	0	0	0	0	0	0	0	0	17	0	0	5	0	11	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	60	0	0	6	105	0	0	147	0	0	10	0	0	0	0	0	0	0	0	28	0	0	2	0	0	0	0	1	0	91	0	0	0	8	54	0	0	0	0	0	29	0	0	78	0	0	0	7	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Alloprevotella;D_6__Prevotella sp. canine oral taxon 226	0	0	17	56	16	1	28	32	33	15	29	37	34	6	35	0	0	0	0	0	0	0	0	0	0	0	18	1	0	0	11	0	0	0	0	0	3	0	12	0	0	34	0	0	0	12	0	0	27	0	0	5	0	0	31	0	0	57	0	0	6	0	0	27	33	0	0	29	0	0	36	0	0	34	0	0	0	24	0	0	18	0	0	8	0	0	0	4	0	0	0	0	18	0	0	0	34	0	0	29	0	0	48	0	0	0	0	22	0	0	0	0	0	11	0	2	0	32	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XI;D_5__Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	2	1	4	1	59	0	2	0	0	0	0	0	0	0	0	0	22	0	0	3	0	0	0	0	3	179	0	0	1	0	0	0	0	0	0	0	0	2	0	0	7	0	0	20	0	0	0	3	1	0	11	0	0	3	0	0	1	30	0	0	5	0	0	4	0	0	1	0	0	0	38	0	5	0	0	138	0	0	0	6	0	0	9	0	0	0	1	85	0	0	1	0	0	118	0	0	24	0	0	0	64	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Aeromonadales;D_4__Succinivibrionaceae;D_5__Anaerobiospirillum;Ambiguous_taxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	90	0	13	23	0	0	1	86	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	66	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	217	0	0	0	17	0	0	0	0	0	0	0	0	0	15	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	56	0	1	2	33	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	6	0	0	0	18	0	0	0	0	0	0	0	0	0	3	0	0	15	0	0	13	0	0	0	0	0	0	49	0	71	0	1	37	0	0	0	2	0	0	8	0	0	0	0	18	0	0	19	0	0	30	0	0	58	0	0	0	75	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium	0	0	13	32	28	726	35	41	23	40	75	49	57	168	29	0	0	0	0	0	0	64	0	0	0	2	46	4	0	0	19	0	9	0	0	0	3	0	52	3	0	94	18	12	0	10	0	0	225	74	0	0	0	0	3	0	0	8	47	22	20	36	0	23	161	64	8	18	78	0	12	0	0	48	14	30	0	22	73	0	10	184	0	2	122	0	0	309	46	0	3	0	58	0	1	2	40	12	0	5	18	0	21	0	0	5	0	13	31	0	1	2	0	3	4	3	0	22	8	0	23	0	8	0	4	3	0	3	2	5	1	0	0	1
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Sutterella;Ambiguous_taxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	5	36	10	21	25	39	8	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	50	0	0	12	36	0	0	9	7	0	21	0	0	0	0	0	13	0	0	1	0	0	22	0	0	0	13	0	0	4	0	0	13	0	0	5	12	0	0	2	0	1	55	0	0	12	0	0	0	49	0	83	0	0	36	2	0	0	2	0	0	33	0	0	0	18	24	0	0	42	0	0	40	0	0	86	0	0	0	73	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	68	0	0	0	0	0	16	0	0	0	0	0	3	0	0	22	0	0	87	0	0	0	0	0	0	64	0	0	0	0	77	0	0	8	0	0	1	0	0	10	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	41	6	60	18	98	40	10	15	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	19	0	0	55	13	0	0	37	14	0	33	7	0	0	0	0	67	0	0	9	2	0	25	0	1	0	19	1	0	22	1	0	12	0	0	16	3	0	0	5	0	0	28	0	0	62	0	0	0	15	0	5	0	0	3	0	1	0	16	0	0	3	0	0	0	29	12	0	0	8	0	0	5	0	0	24	0	0	0	37	0	0	28	0	0	0	0	1	0	0	0	1	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Weeksellaceae;D_5__Bergeyella;D_6__Bergeyella sp. B1-MC	0	0	53	29	9	0	45	48	17	34	11	20	13	4	49	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	15	0	0	6	0	0	1	0	0	19	0	0	5	0	0	10	0	0	37	29	0	0	41	0	0	31	0	0	5	0	0	0	54	0	0	30	0	0	1	0	0	0	3	0	0	0	0	6	0	0	0	28	0	0	23	1	0	49	0	0	0	0	25	0	0	0	0	0	5	0	0	0	17	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
